miRNA	SRR34661416	SRR34661417	SRR34661418	SRR34661419	SRR34661420	SRR34661421	SRR34661422	SRR34661423	SRR34661424	SRR34661425	SRR34661426	SRR34661427	SRR34661428	SRR34661429	SRR34661430	SRR34661431	SRR34661432	SRR34661433	SRR34661434	SRR34661435	SRR34661436	SRR34661437	SRR34661438	SRR34661439	SRR34661440	SRR34661441	SRR34661442	SRR34661443
mmu-miR-3071-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3071-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3072-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3072-3p	0	2	0	1	2	2	7	3	0	3	4	3	6	2	2	0	0	3	3	2	4	1	7	4	5	0	5	1
mmu-miR-3073a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3073a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
mmu-miR-3074-5p	7	5	0	5	9	4	14	3	0	3	2	2	3	1	1	0	10	12	23	5	12	13	18	30	11	0	7	0
mmu-miR-3074-1-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1	2	0	0	0
mmu-miR-3075-5p	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3075-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3076-5p	0	0	0	0	1	0	0	0	0	1	1	2	1	1	3	2	0	0	0	2	0	0	0	0	0	0	0	0
mmu-miR-3076-3p	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
mmu-miR-3077-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
